Dataset: Aleatorios, 
Size: a100.txt, 
Tempo(ms), Swaps, 
0.7572, 42065, 
0.7419, 42065, 
0.7432, 42065, 
0.7419, 42065, 
0.7482, 42065, 
0.9329, 42065, 
0.9273, 42065, 
0.7388, 42065, 
0.7444, 42065, 
0.7467, 42065, 
0.7947, 42065, 
0.7453, 42065, 
0.7426, 42065, 
0.7389, 42065, 
0.7791, 42065, 
0.7441, 42065, 


Size: a50000.txt, 
Tempo(ms), Swaps, 
9.248, 552944, 
9.2604, 552944, 
9.2303, 552944, 
9.2973, 552944, 
9.5401, 552944, 
9.6162, 552944, 
9.7722, 552944, 
9.8103, 552944, 
9.9392, 552944, 
9.7857, 552944, 
9.7852, 552944, 
9.4855, 552944, 
9.65, 552944, 
9.5535, 552944, 
9.6096, 552944, 
9.9156, 552944, 
9.522, 552944, 
9.3593, 552944, 
9.472, 552944, 
9.4899, 552944, 
9.6878, 552944, 
9.5474, 552944, 
9.4862, 552944, 
9.5346, 552944, 
9.4012, 552944, 
9.4738, 552944, 
9.233, 552944, 
9.2469, 552944, 
9.4725, 552944, 
9.4874, 552944, 
9.3589, 552944, 
9.4876, 552944, 


Size: a500000.txt, 
Tempo(ms), Swaps, 
144.516, 5061531, 
148.074, 5061531, 
150.883, 5061531, 
143.818, 5061531, 
140.015, 5061531, 
140.056, 5061531, 
140.287, 5061531, 
140.356, 5061531, 
140.876, 5061531, 
140.129, 5061531, 
140.038, 5061531, 
140.583, 5061531, 
140.147, 5061531, 
140.186, 5061531, 
140.174, 5061531, 
140.612, 5061531, 
141.011, 5061531, 
140.233, 5061531, 
140.491, 5061531, 
140.25, 5061531, 
140.054, 5061531, 
140.509, 5061531, 
140.255, 5061531, 
140.176, 5061531, 
140.164, 5061531, 
140.224, 5061531, 
140.475, 5061531, 
140.295, 5061531, 
140.5, 5061531, 
140.49, 5061531, 
141.633, 5061531, 
140.107, 5061531, 


Size: a7500.txt, 
Tempo(ms), Swaps, 
1.154, 67251, 
1.1558, 67251, 
1.1547, 67251, 
1.1521, 67251, 
1.1545, 67251, 
1.1564, 67251, 
1.1525, 67251, 
1.1689, 67251, 
1.1542, 67251, 
1.1544, 67251, 
1.1533, 67251, 
1.1529, 67251, 
1.1516, 67251, 
1.1531, 67251, 
1.231, 67251, 
1.1792, 67251, 
1.1478, 67251, 
1.1528, 67251, 
1.1522, 67251, 
1.1513, 67251, 
1.1499, 67251, 
1.1537, 67251, 
1.1521, 67251, 
1.1459, 67251, 
1.1468, 67251, 
1.1438, 67251, 
1.1441, 67251, 
1.1449, 67251, 
1.1479, 67251, 
1.1501, 67251, 
1.1489, 67251, 
1.1509, 67251, 


Size: a75000.txt, 
Tempo(ms), Swaps, 
13.8278, 755365, 
13.8532, 755365, 
13.8237, 755365, 
13.9064, 755365, 
13.8626, 755365, 
13.8764, 755365, 
13.8479, 755365, 
13.8379, 755365, 
13.8955, 755365, 
13.9943, 755365, 
13.9897, 755365, 
14.1032, 755365, 
13.9643, 755365, 
14.3298, 755365, 
14.3275, 755365, 
14.3997, 755365, 
14.6148, 755365, 
14.5421, 755365, 
14.5035, 755365, 
14.5709, 755365, 
14.8447, 755365, 
14.6658, 755365, 
14.6472, 755365, 
14.6825, 755365, 
14.653, 755365, 
14.5936, 755365, 
14.5546, 755365, 
14.7466, 755365, 
14.746, 755365, 
13.8536, 755365, 
13.8447, 755365, 
13.8307, 755365, 


Size: a750000.txt, 
Tempo(ms), Swaps, 
250.461, 7099180, 
249.481, 7099180, 
256.377, 7099180, 
249.727, 7099180, 
248.864, 7099180, 
249.592, 7099180, 
249.28, 7099180, 
249.32, 7099180, 
249.325, 7099180, 
248.918, 7099180, 
249.007, 7099180, 
249.12, 7099180, 
249.057, 7099180, 
249.266, 7099180, 
248.978, 7099180, 
257.551, 7099180, 
255.822, 7099180, 
249.442, 7099180, 
249.747, 7099180, 
263.974, 7099180, 
249.36, 7099180, 
250.961, 7099180, 
267.563, 7099180, 
256.277, 7099180, 
254.422, 7099180, 
249.459, 7099180, 
249.291, 7099180, 
249.505, 7099180, 
264.683, 7099180, 
269.189, 7099180, 
264.081, 7099180, 
249.278, 7099180, 


Dataset: Ordenados, 
Size: o100.txt, 
Tempo(ms), Swaps, 
0.005, 345, 
0.0042, 345, 
0.0042, 345, 
0.0043, 345, 
0.0043, 345, 
0.0042, 345, 
0.0042, 345, 
0.0042, 345, 
0.0042, 345, 
0.0043, 345, 
0.0042, 345, 
0.0042, 345, 
0.0042, 345, 
0.0043, 345, 
0.0041, 345, 
0.0042, 345, 
0.0042, 345, 
0.0042, 345, 
0.0042, 345, 
0.0042, 345, 
0.0043, 345, 
0.0042, 345, 
0.0043, 345, 
0.0042, 345, 
0.0042, 345, 
0.0043, 345, 
0.0043, 345, 
0.0043, 345, 
0.0042, 345, 
0.0044, 345, 
0.0042, 345, 
0.0044, 345, 


Size: o1000.txt, 
Tempo(ms), Swaps, 
0.0614, 5215, 
0.0589, 5215, 
0.0584, 5215, 
0.0582, 5215, 
0.0582, 5215, 
0.0583, 5215, 
0.0585, 5215, 
0.0649, 5215, 
0.058, 5215, 
0.058, 5215, 
0.0644, 5215, 
0.0582, 5215, 
0.058, 5215, 
0.0582, 5215, 
0.0582, 5215, 
0.0581, 5215, 
0.0582, 5215, 
0.058, 5215, 
0.0647, 5215, 
0.058, 5215, 
0.0581, 5215, 
0.0641, 5215, 
0.0582, 5215, 
0.0579, 5215, 
0.0583, 5215, 
0.058, 5215, 
0.058, 5215, 
0.0579, 5215, 
0.0581, 5215, 
0.0644, 5215, 
0.058, 5215, 
0.0581, 5215, 


Size: o10000.txt, 
Tempo(ms), Swaps, 
0.8526, 68922, 
0.8496, 68922, 
0.8464, 68922, 
0.8408, 68922, 
0.8457, 68922, 
0.847, 68922, 
0.8474, 68922, 
0.8472, 68922, 
0.847, 68922, 
0.8458, 68922, 
0.8438, 68922, 
0.8409, 68922, 
0.8471, 68922, 
0.8518, 68922, 
0.8492, 68922, 
0.847, 68922, 
0.8455, 68922, 
0.8507, 68922, 
0.8399, 68922, 
0.8462, 68922, 
0.8449, 68922, 
0.888, 68922, 
0.8463, 68922, 
0.8477, 68922, 
0.8531, 68922, 
0.8421, 68922, 
0.8433, 68922, 
0.8448, 68922, 
0.8686, 68922, 
0.8461, 68922, 
0.8499, 68922, 
0.8448, 68922, 


Size: o100000.txt, 
Tempo(ms), Swaps, 
11.161, 772432, 
11.1364, 772432, 
11.1649, 772432, 
11.1638, 772432, 
11.1836, 772432, 
11.2042, 772432, 
11.1324, 772432, 
11.1269, 772432, 
11.1309, 772432, 
11.1305, 772432, 
11.1518, 772432, 
11.1613, 772432, 
11.1304, 772432, 
11.1368, 772432, 
11.1233, 772432, 
11.1598, 772432, 
11.2103, 772432, 
11.1345, 772432, 
11.1647, 772432, 
11.1604, 772432, 
11.5892, 772432, 
11.1797, 772432, 
11.1558, 772432, 
11.1739, 772432, 
11.1349, 772432, 
11.2291, 772432, 
11.1551, 772432, 
11.1712, 772432, 
11.1271, 772432, 
11.1293, 772432, 
