Dataset: Aleatorios, 
Size: a100.txt, 
Tempo(ms), Swaps, 
1.175, 67630, 
1.1766, 67630, 
1.1773, 67630, 
1.1749, 67630, 
1.3248, 67630, 
1.1786, 67630, 
1.1741, 67630, 
1.2823, 67630, 
1.186, 67630, 
1.1716, 67630, 
1.1738, 67630, 
1.2671, 67630, 
1.2152, 67630, 
1.1781, 67630, 
1.1765, 67630, 
1.2859, 67630, 
1.1725, 67630, 
1.1735, 67630, 
1.1759, 67630, 
1.2481, 67630, 
1.1802, 67630, 
1.1795, 67630, 
1.1759, 67630, 
1.1756, 67630, 


Size: a75000.txt, 
Tempo(ms), Swaps, 
14.9017, 824911, 
15.3918, 824911, 
14.9568, 824911, 
14.9968, 824911, 
15.0955, 824911, 
14.6852, 691119, 
15.2799, 691119, 
14.1774, 691119, 
14.3914, 691119, 
14.4036, 691119, 
14.4256, 691119, 
14.4149, 691119, 
14.4561, 691119, 
14.2296, 691119, 
14.2655, 691119, 
14.2167, 691119, 
14.3575, 691119, 
14.2269, 691119, 
14.2072, 691119, 
14.256, 691119, 
14.2301, 691119, 
14.0955, 691119, 
14.2495, 691119, 
14.0722, 691119, 
14.1294, 691119, 
14.1646, 691119, 
14.1807, 691119, 
14.3029, 691119, 
14.1436, 691119, 
14.315, 691119, 
14.9361, 691119, 
14.2244, 691119, 


Size: a750000.txt, 
Tempo(ms), Swaps, 
256.579, 6670426, 
255.02, 7486184, 
255.508, 7486184, 
255.506, 7486184, 
254.334, 7301639, 
256.737, 7301639, 
255.209, 7301639, 
253.963, 7242104, 
254.438, 7242104, 
255.941, 7242104, 
257.518, 7598593, 
258.103, 7598593, 
256.8, 7598593, 
259.222, 8047555, 
259.232, 8047555, 
258.62, 8021094, 
260.451, 8021094, 
267.901, 8021094, 
261.548, 7997667, 
266.339, 7997667, 
259.955, 7997667, 
257.788, 8061196, 
258.673, 8061196, 
258.313, 8061196, 
257.959, 7219551, 
260.208, 7219551, 
257.605, 7219551, 
250.463, 6814494, 
252.024, 6814494, 
254.768, 7300460, 
255.145, 7300460, 
254.956, 7300460, 


Dataset: Ordenados, 
Size: o100.txt, 
Tempo(ms), Swaps, 
0.0071, 374, 
0.0145, 374, 
0.0061, 374, 
0.0061, 374, 
0.006, 374, 
0.0061, 374, 
0.0059, 374, 
0.0058, 374, 
0.0059, 374, 
0.0059, 374, 
0.0059, 374, 
0.0058, 374, 
0.006, 374, 
0.0058, 374, 
0.0058, 374, 
0.0059, 374, 
0.0059, 374, 
0.006, 374, 
0.0059, 374, 
0.0059, 374, 
0.0058, 374, 
0.0058, 374, 
0.006, 374, 
0.0058, 374, 
0.0057, 374, 
0.0058, 374, 
0.0059, 374, 
0.0058, 374, 
0.0059, 374, 
0.006, 374, 
0.0057, 374, 
0.0058, 374, 


Size: o1000.txt, 
Tempo(ms), Swaps, 
0.0817, 5294, 
0.0794, 5294, 
0.086, 5294, 
0.0794, 5294, 
0.0787, 5294, 
0.0854, 5294, 
0.079, 5294, 
0.0788, 5294, 
0.0787, 5294, 
0.0852, 5294, 
0.0789, 5294, 
0.079, 5294, 
0.0849, 5294, 
0.0788, 5294, 
0.0779, 5294, 
0.0781, 5294, 
0.0847, 5294, 
0.0784, 5294, 
0.0787, 5294, 
0.0848, 5294, 
0.079, 5294, 
0.0789, 5294, 
0.085, 5294, 
0.0792, 5294, 
0.0788, 5294, 
0.0793, 5294, 
0.0854, 5294, 
0.0789, 5294, 
0.0841, 5294, 
0.0849, 5294, 
0.0789, 5294, 
0.0791, 5294, 


Size: o10000.txt, 
Tempo(ms), Swaps, 
1.0863, 80798, 
1.0844, 80798, 
1.0807, 80798, 
1.0856, 80798, 
1.0831, 80798, 
1.0778, 80798, 
1.1961, 80798, 
1.0836, 80798, 
1.0803, 80798, 
1.1546, 80798, 
1.0824, 80798, 
1.0786, 80798, 
1.0842, 80798, 
1.0807, 80798, 
1.1173, 80798, 
1.0791, 80798, 
1.1962, 80798, 
1.0814, 80798, 
1.0794, 80798, 
1.0842, 80798, 
1.1498, 80798, 
1.0836, 80798, 
1.0814, 80798, 
1.083, 80798, 
1.0814, 80798, 
1.1568, 80798, 
1.1967, 80798, 
1.0834, 80798, 
1.0824, 80798, 
1.0819, 80798, 
1.1387, 80798, 
1.0821, 80798, 


Size: o100000.txt, 
Tempo(ms), Swaps, 
14.6089, 867094, 
14.2409, 867094, 
13.7283, 867094, 
13.7875, 867094, 
13.8461, 867094, 
13.7669, 867094, 
13.9371, 867094, 
13.8809, 867094, 
13.8176, 867094, 
14.1433, 867094, 
13.8965, 867094, 
13.7848, 867094, 
13.7953, 867094, 
13.6964, 867094, 
13.6324, 867094, 
13.7889, 867094, 
13.9268, 867094, 
13.7982, 867094, 
13.9436, 867094, 
13.6839, 867094, 
14.0155, 867094, 
13.8125, 867094, 
14.3526, 867094, 
13.6693, 867094, 
13.8471, 867094, 
13.8967, 867094, 
14.713, 867094, 
13.9389, 867094, 
13.9279, 867094, 
13.7738, 867094, 
13.904, 867094, 
13.6611, 859722, 


Size: o1000000.txt, 
Tempo(ms), Swaps, 
381.236, 7071797, 
372.537, 7071797, 
385.034, 6983470, 
387.562, 6983470, 
385.401, 6999029, 
386.623, 6999029, 
371.624, 7045487, 
373.258, 7045487, 
367.542, 6960821, 
369.404, 6960821, 
373.634, 6914270, 
373.928, 6914270, 
371.093, 7011520, 
372.512, 7011520, 
382.92, 7143152, 
380.026, 7143152, 
371.8, 7086736, 
369.24, 7086736, 
380.996, 6976788, 
372.927, 6976788, 
371.461, 6976012, 
372.613, 6976012, 
379.248, 6888830, 
381.604, 6888830, 
372.67, 6914849, 
380.334, 6914849, 
374.859, 6985312, 
376.545, 6985312, 
383.904, 6960362, 
385.89, 6960362, 
381.208, 6949128, 
380.953, 6949128, 


Size: o1250000.txt, 
Tempo(ms), Swaps, 
551.513, 8641733, 
551.327, 8641733, 
569.952, 8269659, 
577.533, 8580389, 
555.36, 8387083, 
563.8, 8387083, 
578.073, 8599933, 
544.476, 8447236, 
544.607, 8447236, 
565.414, 8455907, 
559.23, 8480780, 
569.99, 8393001, 
567.1, 8393001, 
591.572, 8250187, 
546.896, 8651825, 
546.202, 8592914, 
548.148, 8592914, 
560.161, 8350952, 
542.975, 8641543, 
542.968, 8641543, 
554.801, 8519152, 
560.284, 8557477, 
559.495, 8610954, 
556.123, 8610954, 
538.419, 8525397, 
553.511, 8473504, 
564.177, 8473504, 
552.725, 8574470, 
532.084, 8549636, 
537.792, 8549636, 
546.192, 8416486, 
555.754, 8368452, 


Size: o15000.txt, 
Tempo(ms), Swaps, 
1.8741, 137933, 
1.9138, 137933, 
1.8401, 137933, 
1.847, 137933, 
1.8352, 137933, 
1.8396, 137933, 
1.8404, 137933, 
1.8491, 137933, 
1.8393, 137933, 
1.8434, 137933, 
1.8383, 137933, 
1.8415, 137933, 
1.8329, 137933, 
1.8431, 137933, 
1.8364, 137933, 
1.8344, 137933, 
1.8404, 137933, 
1.8411, 137933, 
1.8402, 137933, 
1.8362, 137933, 
1.8399, 137933, 
1.841, 137933, 
1.8347, 137933, 
1.8366, 137933, 
1.9235, 137933, 
1.9499, 137933, 
1.7823, 137933, 
1.7934, 137933, 
1.8019, 137933, 
1.7943, 137933, 
1.789, 137933, 
1.8096, 137933, 


Size: o1500000.txt, 
Tempo(ms), Swaps, 
776.442, 9850378, 
755.427, 10017467, 
767.693, 9826814, 
748.886, 9959200, 
769.432, 10026876, 
770.606, 10026876, 
765.179, 9812009, 
757.597, 9913882, 
785.898, 9668515, 
775.641, 9829335, 
754.499, 10090676, 
753.429, 9916515, 
768.221, 9930757, 
757.627, 9904643, 
759.357, 10118794, 
765.713, 10077107, 
753.864, 10038733, 
769.698, 9804123, 
756.869, 9930541, 
762.745, 9979409, 
782.728, 9820762, 
757.572, 10151354, 
766.54, 9943415, 
747.706, 9884153, 
755.06, 9817290, 
774.883, 9876581, 
762.347, 10082177, 
791.264, 9875630, 
816.211, 9875630, 
989.693, 9831623, 
781.274, 9854690, 
760.85, 10019902, 


Size: o200.txt, 
Tempo(ms), Swaps, 
0.0229, 805, 
0.0138, 805, 
0.0134, 805, 
0.0131, 805, 
0.0132, 805, 
0.013, 805, 
0.0198, 805, 
0.0128, 805, 
0.0129, 805, 
0.0129, 805, 
0.0129, 805, 
0.0127, 805, 
0.0129, 805, 
0.0129, 805, 
0.0129, 805, 
0.0128, 805, 
0.0128, 805, 
0.0128, 805, 
